pair,split,confidence,agree_accuracy,disagree_accuracy,accuracy_penalty,agree_error_rate,disagree_error_rate,error_rate_increase,agree_coverage,disagree_coverage,agree_n,disagree_n
strong1-middle,id,high,0.9430823117338003,0.8869346733668342,0.056147638366966124,0.056917688266199695,0.11306532663316582,0.056147638366966124,0.37077922077922076,0.1292207792207792,1142,398
strong1-middle,id,low,0.7553956834532374,0.5779036827195467,0.17749200073369065,0.24460431654676262,0.42209631728045327,0.17749200073369065,0.2707792207792208,0.2292207792207792,834,706
strong1-middle,ood,high,nan,nan,nan,nan,nan,nan,nan,nan,0,0
strong1-middle,ood,low,nan,nan,nan,nan,nan,nan,nan,nan,0,0
strong1-middle,overall,high,0.9430823117338003,0.8869346733668342,0.056147638366966124,0.056917688266199695,0.11306532663316582,0.056147638366966124,0.37077922077922076,0.1292207792207792,1142,398
strong1-middle,overall,low,0.7553956834532374,0.5779036827195467,0.17749200073369065,0.24460431654676262,0.42209631728045327,0.17749200073369065,0.2707792207792208,0.2292207792207792,834,706
strong1-strong2,id,high,0.9312169312169312,0.7857142857142857,0.14550264550264547,0.06878306878306883,0.2142857142857143,0.14550264550264547,0.4909090909090909,0.00909090909090909,1512,28
strong1-strong2,id,low,0.7562189054726368,0.3772455089820359,0.3789733964906009,0.24378109452736318,0.6227544910179641,0.3789733964906009,0.39155844155844155,0.10844155844155844,1206,334
strong1-strong2,ood,high,nan,nan,nan,nan,nan,nan,nan,nan,0,0
strong1-strong2,ood,low,nan,nan,nan,nan,nan,nan,nan,nan,0,0
strong1-strong2,overall,high,0.9312169312169312,0.7857142857142857,0.14550264550264547,0.06878306878306883,0.2142857142857143,0.14550264550264547,0.4909090909090909,0.00909090909090909,1512,28
strong1-strong2,overall,low,0.7562189054726368,0.3772455089820359,0.3789733964906009,0.24378109452736318,0.6227544910179641,0.3789733964906009,0.39155844155844155,0.10844155844155844,1206,334
strong1-weak,id,high,0.9391226499552372,0.900709219858156,0.0384134300970812,0.0608773500447628,0.099290780141844,0.0384134300970812,0.3626623376623377,0.13733766233766234,1117,423
strong1-weak,id,low,0.7763819095477387,0.5645161290322581,0.21186578051548055,0.22361809045226133,0.4354838709677419,0.21186578051548055,0.2584415584415584,0.24155844155844156,796,744
strong1-weak,ood,high,nan,nan,nan,nan,nan,nan,nan,nan,0,0
strong1-weak,ood,low,nan,nan,nan,nan,nan,nan,nan,nan,0,0
strong1-weak,overall,high,0.9391226499552372,0.900709219858156,0.0384134300970812,0.0608773500447628,0.099290780141844,0.0384134300970812,0.3626623376623377,0.13733766233766234,1117,423
strong1-weak,overall,low,0.7763819095477387,0.5645161290322581,0.21186578051548055,0.22361809045226133,0.4354838709677419,0.21186578051548055,0.2584415584415584,0.24155844155844156,796,744
