pair,split,confidence_threshold_quantile,confidence_threshold,confidence,agreement,n,coverage,accuracy,error_rate
strong1-strong2,overall,0.5,0.9999989151996711,high,agree,1512,0.4909090909090909,0.9312169312169312,0.06878306878306883
strong1-strong2,overall,0.5,0.9999989151996711,high,disagree,28,0.00909090909090909,0.7857142857142857,0.2142857142857143
strong1-strong2,overall,0.5,0.9999989151996711,low,agree,1206,0.39155844155844155,0.7562189054726368,0.24378109452736318
strong1-strong2,overall,0.5,0.9999989151996711,low,disagree,334,0.10844155844155844,0.3772455089820359,0.6227544910179641
strong1-strong2,id,0.5,0.9999989151996711,high,agree,1512,0.4909090909090909,0.9312169312169312,0.06878306878306883
strong1-strong2,id,0.5,0.9999989151996711,high,disagree,28,0.00909090909090909,0.7857142857142857,0.2142857142857143
strong1-strong2,id,0.5,0.9999989151996711,low,agree,1206,0.39155844155844155,0.7562189054726368,0.24378109452736318
strong1-strong2,id,0.5,0.9999989151996711,low,disagree,334,0.10844155844155844,0.3772455089820359,0.6227544910179641
strong1-strong2,ood,0.5,0.9999989151996711,high,agree,0,nan,nan,nan
strong1-strong2,ood,0.5,0.9999989151996711,high,disagree,0,nan,nan,nan
strong1-strong2,ood,0.5,0.9999989151996711,low,agree,0,nan,nan,nan
strong1-strong2,ood,0.5,0.9999989151996711,low,disagree,0,nan,nan,nan
strong1-middle,overall,0.5,0.9999989151996711,high,agree,1142,0.37077922077922076,0.9430823117338003,0.056917688266199695
strong1-middle,overall,0.5,0.9999989151996711,high,disagree,398,0.1292207792207792,0.8869346733668342,0.11306532663316582
strong1-middle,overall,0.5,0.9999989151996711,low,agree,834,0.2707792207792208,0.7553956834532374,0.24460431654676262
strong1-middle,overall,0.5,0.9999989151996711,low,disagree,706,0.2292207792207792,0.5779036827195467,0.42209631728045327
strong1-middle,id,0.5,0.9999989151996711,high,agree,1142,0.37077922077922076,0.9430823117338003,0.056917688266199695
strong1-middle,id,0.5,0.9999989151996711,high,disagree,398,0.1292207792207792,0.8869346733668342,0.11306532663316582
strong1-middle,id,0.5,0.9999989151996711,low,agree,834,0.2707792207792208,0.7553956834532374,0.24460431654676262
strong1-middle,id,0.5,0.9999989151996711,low,disagree,706,0.2292207792207792,0.5779036827195467,0.42209631728045327
strong1-middle,ood,0.5,0.9999989151996711,high,agree,0,nan,nan,nan
strong1-middle,ood,0.5,0.9999989151996711,high,disagree,0,nan,nan,nan
strong1-middle,ood,0.5,0.9999989151996711,low,agree,0,nan,nan,nan
strong1-middle,ood,0.5,0.9999989151996711,low,disagree,0,nan,nan,nan
strong1-weak,overall,0.5,0.9999989151996711,high,agree,1117,0.3626623376623377,0.9391226499552372,0.0608773500447628
strong1-weak,overall,0.5,0.9999989151996711,high,disagree,423,0.13733766233766234,0.900709219858156,0.099290780141844
strong1-weak,overall,0.5,0.9999989151996711,low,agree,796,0.2584415584415584,0.7763819095477387,0.22361809045226133
strong1-weak,overall,0.5,0.9999989151996711,low,disagree,744,0.24155844155844156,0.5645161290322581,0.4354838709677419
strong1-weak,id,0.5,0.9999989151996711,high,agree,1117,0.3626623376623377,0.9391226499552372,0.0608773500447628
strong1-weak,id,0.5,0.9999989151996711,high,disagree,423,0.13733766233766234,0.900709219858156,0.099290780141844
strong1-weak,id,0.5,0.9999989151996711,low,agree,796,0.2584415584415584,0.7763819095477387,0.22361809045226133
strong1-weak,id,0.5,0.9999989151996711,low,disagree,744,0.24155844155844156,0.5645161290322581,0.4354838709677419
strong1-weak,ood,0.5,0.9999989151996711,high,agree,0,nan,nan,nan
strong1-weak,ood,0.5,0.9999989151996711,high,disagree,0,nan,nan,nan
strong1-weak,ood,0.5,0.9999989151996711,low,agree,0,nan,nan,nan
strong1-weak,ood,0.5,0.9999989151996711,low,disagree,0,nan,nan,nan
