pair,score,auroc_correctness,auprc_correctness
strong1-strong2,agreement_binary,0.6448528087626191,0.8504342889618791
strong1-strong2,strong1_id_conf,0.8000772634823784,0.925423605482212
strong1-strong2,0.5_conf_plus_0.5_agree,0.8043459550216628,0.9269681279656347
strong1-strong2,1-normalized_js,0.8085216258302348,0.9435464876710632
strong1-strong2,cosine_similarity,0.8200813550703911,0.9459252108316466
strong1-strong2,top3_overlap,0.29005651423184076,0.7537954250546731
strong1-middle,agreement_binary,0.626055338396839,0.844573845607604
strong1-middle,strong1_id_conf,0.8000772634823784,0.925423605482212
strong1-middle,0.5_conf_plus_0.5_agree,0.7604107080433471,0.9194770697119086
strong1-middle,1-normalized_js,0.6700266681497018,0.8919793844653134
strong1-middle,cosine_similarity,0.6773345886166461,0.8951889655639008
strong1-middle,top3_overlap,0.4189110814504083,0.7826831489323652
strong1-weak,agreement_binary,0.6367424603552929,0.8486524887897269
strong1-weak,strong1_id_conf,0.8000772634823784,0.925423605482212
strong1-weak,0.5_conf_plus_0.5_agree,0.7645423512462792,0.9189472704500199
strong1-weak,1-normalized_js,0.678392575290516,0.8868717817856874
strong1-weak,cosine_similarity,0.6847901505280665,0.8887227929726962
strong1-weak,top3_overlap,0.4200495095390938,0.7835945662992545
