pair,split,confidence_threshold_quantile,confidence_threshold,confidence,agreement,n,coverage,accuracy,error_rate
strong1-strong2,overall,0.5,0.9999978609168368,high,agree,2715,0.49363636363636365,0.9646408839779006,0.0353591160220994
strong1-strong2,overall,0.5,0.9999978609168368,high,disagree,35,0.006363636363636364,0.8571428571428571,0.1428571428571429
strong1-strong2,overall,0.5,0.9999978609168368,low,agree,1557,0.2830909090909091,0.8497109826589595,0.1502890173410405
strong1-strong2,overall,0.5,0.9999978609168368,low,disagree,1193,0.2169090909090909,0.6420787929589271,0.3579212070410729
strong1-strong2,id,0.5,0.9999978609168368,high,agree,2684,0.5964444444444444,0.9757824143070045,0.02421758569299548
strong1-strong2,id,0.5,0.9999978609168368,high,disagree,33,0.007333333333333333,0.9090909090909091,0.09090909090909094
strong1-strong2,id,0.5,0.9999978609168368,low,agree,1415,0.31444444444444447,0.9130742049469964,0.08692579505300357
strong1-strong2,id,0.5,0.9999978609168368,low,disagree,368,0.08177777777777778,0.5217391304347826,0.4782608695652174
strong1-strong2,ood,0.5,0.9999978609168368,high,agree,31,0.031,0.0,1.0
strong1-strong2,ood,0.5,0.9999978609168368,high,disagree,2,0.002,0.0,1.0
strong1-strong2,ood,0.5,0.9999978609168368,low,agree,142,0.142,0.21830985915492956,0.7816901408450705
strong1-strong2,ood,0.5,0.9999978609168368,low,disagree,825,0.825,0.6957575757575758,0.3042424242424242
strong1-middle,overall,0.5,0.9999978609168368,high,agree,2415,0.4390909090909091,0.9668737060041408,0.0331262939958592
strong1-middle,overall,0.5,0.9999978609168368,high,disagree,335,0.060909090909090906,0.9373134328358209,0.06268656716417909
strong1-middle,overall,0.5,0.9999978609168368,low,agree,1295,0.23545454545454544,0.8316602316602316,0.16833976833976838
strong1-middle,overall,0.5,0.9999978609168368,low,disagree,1455,0.26454545454545453,0.6955326460481099,0.30446735395189006
strong1-middle,id,0.5,0.9999978609168368,high,agree,2389,0.5308888888888889,0.9773964001674341,0.02260359983256588
strong1-middle,id,0.5,0.9999978609168368,high,disagree,328,0.07288888888888889,0.9573170731707317,0.04268292682926833
strong1-middle,id,0.5,0.9999978609168368,low,agree,1171,0.26022222222222224,0.9077711357813835,0.09222886421861654
strong1-middle,id,0.5,0.9999978609168368,low,disagree,612,0.136,0.6879084967320261,0.31209150326797386
strong1-middle,ood,0.5,0.9999978609168368,high,agree,26,0.026,0.0,1.0
strong1-middle,ood,0.5,0.9999978609168368,high,disagree,7,0.007,0.0,1.0
strong1-middle,ood,0.5,0.9999978609168368,low,agree,124,0.124,0.11290322580645161,0.8870967741935484
strong1-middle,ood,0.5,0.9999978609168368,low,disagree,843,0.843,0.701067615658363,0.29893238434163705
strong1-weak,overall,0.5,0.9999978609168368,high,agree,2190,0.3981818181818182,0.9721461187214612,0.027853881278538828
strong1-weak,overall,0.5,0.9999978609168368,high,disagree,560,0.10181818181818182,0.9285714285714286,0.0714285714285714
strong1-weak,overall,0.5,0.9999978609168368,low,agree,1173,0.21327272727272728,0.8397271952259164,0.16027280477408357
strong1-weak,overall,0.5,0.9999978609168368,low,disagree,1577,0.2867272727272727,0.7000634115409005,0.29993658845909954
strong1-weak,id,0.5,0.9999978609168368,high,agree,2169,0.482,0.9815583218072844,0.018441678192715583
strong1-weak,id,0.5,0.9999978609168368,high,disagree,548,0.12177777777777778,0.948905109489051,0.051094890510948954
strong1-weak,id,0.5,0.9999978609168368,low,agree,1059,0.23533333333333334,0.9178470254957507,0.0821529745042493
strong1-weak,id,0.5,0.9999978609168368,low,disagree,724,0.1608888888888889,0.7071823204419889,0.2928176795580111
strong1-weak,ood,0.5,0.9999978609168368,high,agree,21,0.021,0.0,1.0
strong1-weak,ood,0.5,0.9999978609168368,high,disagree,12,0.012,0.0,1.0
strong1-weak,ood,0.5,0.9999978609168368,low,agree,114,0.114,0.11403508771929824,0.8859649122807017
strong1-weak,ood,0.5,0.9999978609168368,low,disagree,853,0.853,0.694021101992966,0.30597889800703404
