role,split,run,model,n,accuracy,pred_ood_rate
strong1,overall,gemma-4-31B-run0-all,cyankiwi/gemma-4-31B-it-AWQ-4bit,5500,0.8614545454545455,0.11690909090909091
strong1,id,gemma-4-31B-run0-all,cyankiwi/gemma-4-31B-it-AWQ-4bit,4500,0.9184444444444444,0.008444444444444444
strong1,ood,gemma-4-31B-run0-all,cyankiwi/gemma-4-31B-it-AWQ-4bit,1000,0.605,0.605
strong2,overall,Qwen3.6-27B-run0-all,cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,5500,0.7383636363636363,0.008727272727272728
strong2,id,Qwen3.6-27B-run0-all,cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,4500,0.8928888888888888,0.0011111111111111111
strong2,ood,Qwen3.6-27B-run0-all,cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,1000,0.043,0.043
middle,overall,qwen3.5-9b-clinc-run0-all,cyankiwi/Qwen3.5-9B-AWQ-4bit,5500,0.6372727272727273,0.004363636363636364
middle,id,qwen3.5-9b-clinc-run0-all,cyankiwi/Qwen3.5-9B-AWQ-4bit,4500,0.7755555555555556,0.002
middle,ood,qwen3.5-9b-clinc-run0-all,cyankiwi/Qwen3.5-9B-AWQ-4bit,1000,0.015,0.015
weak,overall,Qwen3.6-35B-run0-all,cyankiwi/Qwen3.6-35B-A3B-AWQ-4bit,5500,0.5838181818181818,0.004363636363636364
weak,id,Qwen3.6-35B-run0-all,cyankiwi/Qwen3.6-35B-A3B-AWQ-4bit,4500,0.7104444444444444,0.0022222222222222222
weak,ood,Qwen3.6-35B-run0-all,cyankiwi/Qwen3.6-35B-A3B-AWQ-4bit,1000,0.014,0.014
